,class_names
141,[u'Infiniti QX56 SUV 2011']
142,[u'Isuzu Ascender SUV 2008']
143,[u'Jaguar XK XKR 2012']
144,[u'Jeep Patriot SUV 2012']
145,[u'Jeep Wrangler SUV 2012']
146,[u'Jeep Liberty SUV 2012']
147,[u'Jeep Grand Cherokee SUV 2012']
148,[u'Jeep Compass SUV 2012']
149,[u'Lamborghini Reventon Coupe 2008']
150,[u'Lamborghini Aventador Coupe 2012']
151,[u'Lamborghini Gallardo LP 570-4 Superleggera 2012']
152,[u'Lamborghini Diablo Coupe 2001']
153,[u'Land Rover Range Rover SUV 2012']
154,[u'Land Rover LR2 SUV 2012']
155,[u'Lincoln Town Car Sedan 2011']
156,[u'MINI Cooper Roadster Convertible 2012']
157,[u'Maybach Landaulet Convertible 2012']
158,[u'Mazda Tribute SUV 2011']
159,[u'McLaren MP4-12C Coupe 2012']
160,[u'Mercedes-Benz 300-Class Convertible 1993']
161,[u'Mercedes-Benz C-Class Sedan 2012']
162,[u'Mercedes-Benz SL-Class Coupe 2009']
163,[u'Mercedes-Benz E-Class Sedan 2012']
164,[u'Mercedes-Benz S-Class Sedan 2012']
165,[u'Mercedes-Benz Sprinter Van 2012']
166,[u'Mitsubishi Lancer Sedan 2012']
167,[u'Nissan Leaf Hatchback 2012']
168,[u'Nissan NV Passenger Van 2012']
169,[u'Nissan Juke Hatchback 2012']
170,[u'Nissan 240SX Coupe 1998']
171,[u'Plymouth Neon Coupe 1999']
172,[u'Porsche Panamera Sedan 2012']
173,[u'Ram C/V Cargo Van Minivan 2012']
174,[u'Rolls-Royce Phantom Drophead Coupe Convertible 2012']
175,[u'Rolls-Royce Ghost Sedan 2012']
176,[u'Rolls-Royce Phantom Sedan 2012']
177,[u'Scion xD Hatchback 2012']
178,[u'Spyker C8 Convertible 2009']
179,[u'Spyker C8 Coupe 2009']
180,[u'Suzuki Aerio Sedan 2007']
181,[u'Suzuki Kizashi Sedan 2012']
182,[u'Suzuki SX4 Hatchback 2012']
183,[u'Suzuki SX4 Sedan 2012']
184,[u'Tesla Model S Sedan 2012']
185,[u'Toyota Sequoia SUV 2012']
186,[u'Toyota Camry Sedan 2012']
187,[u'Toyota Corolla Sedan 2012']
188,[u'Toyota 4Runner SUV 2012']
189,[u'Volkswagen Golf Hatchback 2012']
190,[u'Volkswagen Golf Hatchback 1991']
191,[u'Volkswagen Beetle Hatchback 2012']
192,[u'Volvo C30 Hatchback 2012']
193,[u'Volvo 240 Sedan 1993']
194,[u'Volvo XC90 SUV 2007']
195,[u'smart fortwo Convertible 2012']
